Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,pm8,p14,C3,C4,C5,C6,C7,P1,P10,P11,P12,P13,C2,Pm8,P2,P3,P4,P5,P6,P7,PC3,P9,PC10,PC11,PC12,PC13,PC14,PC15,PC2,P8,PC4,PC5,PC6,PC8,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm10,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,P15,pm9
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__Eubacterium_sp._oral_clone_DO008,ASV127,5027,0.00484839015508,11,0,0,39,126,83,52,48,3,0,18,0,0,171,59,25,14,40,7,37,229,0,0,4,4,0,0,0,0,0,8,0,0,0,7,115,92,65,105,57,77,64,87,473,193,160,149,139,124,120,288,421,211,272,207,188,205,230
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__unclassified_g__Neisseria,ASV141,6162,0.0059430634843,530,0,0,112,209,213,157,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,129,122,84,136,131,102,96,162,138,209,364,205,154,192,273,127,131,89,131,137,177,218,228
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7x,s__uncultured_bacterium_g__TM7x,ASV50,15440,0.014891415157,81,396,156,367,495,516,503,8,120,795,160,0,484,31,56,124,360,0,456,133,305,0,590,25,0,161,43,358,1350,0,482,39,9,180,119,534,663,427,445,321,433,326,480,223,173,233,196,148,152,144,141,184,163,229,307,162,237,217
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV10,12373,0.0119333859934,295,0,0,237,320,297,283,0,0,0,0,0,132,0,0,0,0,165,0,83,196,0,0,492,509,0,356,756,0,476,0,0,0,1927,609,391,362,301,394,316,338,282,361,0,221,339,176,245,256,413,0,0,0,0,188,227,218,212
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._oral_taxon_299_str._F0039,ASV126,46064,0.0444273411783,0,0,0,4960,2095,3203,4348,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2707,4194,4043,2775,2606,3517,3587,2366,731,231,431,363,162,210,292,504,489,241,152,466,367,701,203
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__unclassified_g__Rothia,ASV139,4950,0.00477412597327,0,0,0,38,67,103,44,0,0,0,0,0,0,0,42,465,0,36,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,66,85,81,72,100,78,79,173,119,426,188,187,382,560,155,150,90,109,165,154,165,194
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__unclassified_g__Actinomyces,ASV135,4953,0.00477701938295,0,0,0,143,225,181,205,0,177,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,229,148,173,212,163,226,139,167,194,144,179,117,156,107,165,203,294,103,124,147,138,216,172
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__unclassified_g__Leptotrichia,ASV144,5272,0.00508468527901,482,318,254,24,31,53,70,28,41,0,301,41,58,10,338,28,91,144,41,131,114,15,0,0,42,0,0,0,0,0,55,0,0,51,0,94,49,104,82,46,86,79,61,135,101,161,111,35,64,79,117,181,117,164,152,121,215,157
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified_g__Prevotella,ASV26,30432,0.0293507478017,1965,1040,726,794,463,607,782,148,0,268,2403,0,3804,0,479,1983,0,3178,0,53,202,0,103,72,0,174,104,76,0,19,22,8,9,70,553,676,774,966,818,661,923,943,734,473,190,362,278,120,149,281,297,270,165,156,232,300,412,147
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV4,7185,0.00692971618544,0,0,0,0,110,98,81,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,523,1121,1071,391,0,0,0,0,112,313,0,129,103,123,160,120,121,96,114,159,121,130,134,149,142,234,142,136,120,106,147,165,141,147
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella,s__unclassified_g__Gemella,ASV21,11780,0.0113614553465,160,218,203,135,183,198,198,0,738,1252,319,0,107,0,0,89,178,76,243,0,23,97,266,128,166,356,142,739,30,375,34,16,9,866,287,258,288,274,332,245,184,220,262,114,115,136,89,140,130,198,121,154,126,80,104,117,119,143
